dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.1,0.15907558294640714,0.6317549550405296,,,,
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,LR,0.1,,,0.6042643447198035,0.5294713668415953,0.6617585123611575,0.5198311561883048
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,MLP,0.1,,,0.4387698146907792,0.23924847354799675,0.28376390801087625,0.24720134268195446
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.3,0.15621620586606252,0.6290661384517086,,,,
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,LR,0.3,,,0.5739004242018307,0.4839452526897561,0.6152106845505955,0.47109787111901885
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,MLP,0.3,,,0.4224715338245144,0.2533729277647481,0.3010431583348058,0.26298187928213534
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.5,0.15261900797782355,0.6223536991068921,,,,
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,LR,0.5,,,0.45222147800848406,0.318156712250135,0.4754731020536772,0.30603101599711513
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,MLP,0.5,,,0.3226724715338245,0.16145875400532309,0.19019088859258948,0.17575467500316536
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.7,0.13720706205104735,0.6059688078645462,,,,
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,LR,0.7,,,0.4344719803527573,0.2943768378242197,0.4212226062762974,0.2845745958383652
NPClassifier_class,meta-llama/Meta-Llama-3-8B,noise,MLP,0.7,,,0.30475552578700604,0.16467462800583274,0.19325409282991138,0.17394036889589445
