dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.1,,,0.4404442956016968,0.3152136080401582,0.44805355493021554,0.32076997284016917
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.1,,,0.2729403884795713,0.10977698274668812,0.13051175723098699,0.12970071210705814
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.3,0.026860026807178194,0.4520347014004995,,,,
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.3,,,0.2655168564411699,0.14809530452934397,0.22923118723871233,0.1605948222119313
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.3,,,0.15578254074570216,0.054011607153632346,0.06691641472739558,0.06737084857420125
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.5,0.02066054109687484,0.4393368523702183,,,,
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.5,,,0.1778856887698147,0.09353200802869657,0.15866831471114679,0.10232612858152705
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.5,,,0.13892609957579816,0.042247264522068236,0.05115719816037629,0.058302107097743486
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.7,0.014825361229423581,0.4261402322488152,,,,
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.7,,,0.11291582942621121,0.055676943453619426,0.09346812265114723,0.06394483492492437
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.7,,,0.09215226613083277,0.02274501881658498,0.025610672680261157,0.03660162188766097
